engine_temp,vibration_level,battery_voltage,engine_rpm,fuel_level,mileage,maintenance_needed
87,6,12,1298,72,137871,0
60,9,14,4655,53,186604,1
75,9,12,1810,46,89416,0
91,8,14,3318,32,46023,0
83,1,13,4635,55,62548,0
85,8,13,2323,51,128340,0
102,2,13,1945,35,74446,0
111,9,14,2312,36,35932,1
103,7,13,4293,63,114491,1
66,2,14,4458,75,141559,0
76,4,13,1231,57,9418,0
93,2,12,4742,93,145910,0
67,8,12,2075,64,184202,1
106,1,12,765,55,192219,1
63,3,13,1992,11,84348,0
90,6,11,846,19,144221,0
66,6,12,3178,79,46494,0
102,5,11,872,94,176370,1
74,2,12,3945,90,161516,0
64,7,14,4817,88,9039,0
69,3,13,3034,50,9888,0
102,7,14,1531,53,83347,0
71,1,14,852,57,31139,0
105,8,11,1934,42,83114,1
65,4,12,1277,61,19422,0
89,9,14,2975,99,104759,0
86,2,14,1881,70,163699,0
62,3,11,3693,25,168604,1
80,1,13,1719,80,176454,0
86,8,11,2137,84,62429,1
88,7,11,2747,25,147383,0
70,5,13,4196,63,158483,0
65,2,12,1302,33,50741,0
97,6,14,1750,12,24492,1
105,7,11,2779,53,159989,1
100,1,11,2491,82,27698,0
63,5,13,4560,72,183240,1
65,9,12,4263,55,138612,0
104,1,13,3631,29,109774,0
81,4,13,894,6,8796,0
79,4,12,3389,79,156695,0
118,6,11,2283,53,17478,0
68,8,11,4289,75,69737,1
65,2,12,4701,10,99243,0
68,4,12,907,45,118115,0
70,7,12,2102,76,181000,0
102,7,12,1522,7,71909,1
109,5,11,3191,25,157359,1
94,4,11,4082,47,168504,1
92,8,11,3183,57,124882,1
108,5,12,2194,22,144499,0
108,4,11,3430,96,198733,1
61,5,13,2737,52,124914,0
85,1,14,4775,85,87133,0
92,6,13,1863,22,190394,0
106,2,12,2600,48,61996,0
81,6,14,2776,98,120138,0
109,4,14,1857,29,163909,1
65,5,12,3330,72,142706,0
93,2,12,3166,56,55418,0
68,5,13,4113,15,174234,0
99,3,13,1050,10,126930,0
119,7,12,1366,52,196344,0
76,5,13,1549,95,115262,0
104,8,11,1648,38,146177,1
62,1,12,3622,18,99134,0
98,5,11,3181,28,64175,1
60,6,14,3517,44,104632,0
80,4,14,1478,69,146612,0
104,3,11,3919,65,88701,1
108,3,14,1636,63,58716,0
96,9,11,4627,22,63651,1
85,6,11,1108,26,62777,0
101,8,14,4877,50,22400,1
108,1,12,1525,24,184068,0
80,3,14,1256,18,28913,0
100,2,12,4533,20,26268,1
108,2,14,2254,7,102260,0
86,9,13,1996,24,89325,0
86,7,12,3563,20,76296,0
111,3,11,3741,65,192638,1
92,1,14,1259,98,10838,0
102,8,11,796,46,136780,1
69,7,12,2729,87,182262,0
68,7,12,3994,94,41369,0
67,9,11,4484,89,154293,1
112,2,14,4962,41,48447,0
117,4,12,4468,55,83115,1
73,9,14,2228,31,117926,0
117,1,14,2878,50,99606,0
95,8,12,4069,6,140683,1
78,8,14,1351,21,27459,0
102,3,14,3808,68,99074,0
62,1,13,4270,56,31212,0
91,7,14,2783,65,74543,0
85,5,11,4015,85,86779,0
117,8,14,3220,30,119062,1
79,6,13,3814,43,142752,0
65,9,11,4397,48,190349,1
70,6,14,2066,49,87882,0
60,5,13,4728,72,67142,0
83,6,13,1838,96,21330,0
103,5,11,3301,45,138759,0
119,2,14,4706,31,27459,1
80,4,13,2046,37,63729,0
91,9,12,4057,80,13513,1
63,2,11,3864,57,100084,0
77,3,12,1837,19,6816,0
64,8,11,3236,98,139955,1
113,6,14,808,13,186231,1
94,8,12,2610,12,49000,1
101,8,14,3862,57,47568,1
64,9,12,2322,32,16912,0
96,5,11,3791,61,49358,1
78,2,11,4305,8,17987,1
85,7,11,4934,72,78128,1
90,8,12,2789,69,99193,0
111,1,13,3333,9,155747,1
116,9,11,4133,50,55723,1
65,6,14,1119,11,100562,0
75,1,14,3096,68,141457,0
72,2,13,3508,79,73681,0
68,7,14,4199,56,108830,0
115,2,11,4952,6,56777,1
92,8,13,2592,81,122847,0
77,7,11,3672,94,61694,0
91,3,14,4907,5,132885,0
101,7,11,1731,30,65857,1
80,3,11,2857,70,134654,0
99,4,14,1525,40,59443,0
84,2,13,3620,32,87242,0
62,1,14,4267,70,77581,0
99,3,11,3192,32,80095,0
119,9,12,4462,79,145662,1
112,2,11,703,15,103612,1
112,8,11,1823,50,161761,1
67,1,12,4765,82,111273,0
116,5,11,736,96,91914,0
96,2,14,2306,75,155495,0
109,8,11,1614,98,192297,1
100,2,11,3366,6,198640,1
67,5,13,1545,39,101809,0
61,3,12,2532,62,43922,0
61,6,13,1254,20,36081,0
70,6,11,4816,42,28364,1
91,4,14,4786,28,126455,0
68,7,12,2388,46,121355,0
113,4,12,1663,63,64486,0
69,5,14,2727,75,108759,0
87,2,13,2968,5,93225,0
78,6,13,3010,91,191615,0
89,2,12,3904,37,35349,0
99,9,14,4940,57,18961,1
114,1,12,1103,58,149727,0
75,7,11,4238,79,61771,1
105,4,13,4506,65,156186,1
111,1,14,1647,25,75400,0
108,5,14,4370,83,123362,1
96,3,13,3678,18,125820,0
108,5,12,4302,91,27090,1
73,4,11,1562,38,183555,0
113,8,12,3595,69,172712,1
85,7,14,3532,64,149545,0
100,8,14,1162,91,195694,1
94,9,12,3866,11,166020,1
100,5,14,1623,72,93033,0
118,9,14,3307,90,168934,1
64,1,12,4009,63,145850,0
88,1,11,737,63,11891,0
79,2,12,1040,67,38588,0
72,8,12,2990,97,160331,1
85,3,12,4386,93,195785,1
93,6,13,1949,55,84365,0
78,6,12,4791,65,156947,0
109,1,13,4946,8,25805,1
85,4,11,3575,72,69383,0
87,7,14,1781,82,24270,0
108,5,12,2964,42,75559,0
118,8,13,3273,89,188833,1
109,7,13,4317,87,140549,1
108,9,13,2146,23,36276,1
73,7,11,4212,35,198969,1
60,4,14,4194,55,190683,0
115,8,11,1882,71,184913,1
118,5,12,754,36,165463,1
86,6,13,2746,39,195774,0
79,1,13,2710,8,87941,0
101,8,12,3583,73,174213,1
81,8,13,1070,82,29105,0
66,8,12,1274,23,134167,0
78,1,11,1514,30,124835,0
113,4,11,2226,40,55153,1
64,2,12,3418,92,10843,0
92,5,13,3435,40,72005,0
116,4,13,2083,84,111241,0
97,7,13,4108,64,156465,1
91,9,11,4800,13,21495,1
99,8,14,1852,78,66486,0
70,4,13,2039,60,21039,0
102,7,14,1801,16,12254,0
87,6,11,3287,33,34205,0
83,1,13,1623,17,37949,0
108,2,13,4805,35,108572,0
89,3,11,4069,72,34027,1
108,7,11,1959,5,144017,1
78,6,12,2583,49,19458,0
74,7,11,4243,69,140637,1
93,4,12,2694,52,118426,0
108,5,12,3679,74,193038,0
99,5,14,2098,26,94540,0
92,5,12,2609,54,86967,0
116,1,13,2671,70,37962,0
85,7,12,3887,15,67918,0
72,1,11,3428,10,163078,1
94,2,11,1739,96,111183,0
108,7,14,2877,32,10126,0
108,2,12,1774,31,47602,0
81,5,11,2980,72,188729,1
116,9,12,4681,53,174780,1
96,3,13,4648,6,76635,1
60,7,13,3937,18,27657,0
99,1,12,1755,58,32992,0
111,2,13,1143,60,99714,0
62,9,11,2234,15,13340,0
67,9,14,4883,52,123466,1
115,7,12,2063,12,8781,0
60,1,12,953,84,163579,0
61,5,13,4112,22,35733,0
84,2,12,2936,86,172842,0
113,7,12,4408,31,167361,1
62,4,14,4935,60,59289,0
61,9,13,4061,37,108678,1
102,2,14,3695,21,68742,0
99,2,14,983,23,65424,0
64,8,14,3561,96,172718,0
77,3,13,2944,63,90060,0
95,7,11,4948,27,16270,0
65,8,12,3238,15,41802,0
97,6,14,3677,12,175565,1
70,8,13,4587,48,103239,0
105,7,14,1337,91,15986,0
115,3,12,2223,86,40677,0
71,5,13,722,96,165042,0
88,3,13,2355,95,45774,0
65,5,13,4400,95,88495,0
87,5,11,4734,5,88772,1
76,5,13,704,84,109423,0
78,3,11,2005,61,8098,0
119,3,11,1035,82,120215,1
73,2,14,3127,91,134684,0
87,7,14,3197,87,45890,0
68,2,14,4052,30,6445,0
116,5,13,3591,76,48415,0
70,3,14,4591,82,142924,0
83,3,13,765,20,122417,0
104,9,12,4326,97,13879,1
70,5,13,2169,16,27948,0
104,3,14,4407,13,10685,1
79,7,14,4147,12,64543,0
60,2,13,1843,83,25071,0
98,4,12,1477,83,13858,0
94,9,12,1832,35,19985,0
95,8,14,4450,65,93931,0
97,3,13,2178,76,175074,1
75,3,14,1025,71,84348,0
78,4,11,3001,33,185535,0
74,1,13,3315,99,188206,0
86,6,14,3895,87,132193,0
101,3,13,3184,62,51223,0
98,1,13,4579,91,56011,0
99,1,13,4375,10,156168,1
76,2,12,732,18,55961,0
64,7,13,3642,27,142948,0
65,8,11,1933,7,174793,1
66,4,11,3049,78,83078,0
96,1,14,4756,59,76907,0
73,1,14,1939,20,20331,0
110,9,14,1138,65,14682,1
97,8,11,3546,11,43613,1
74,5,13,4905,53,67089,0
78,4,13,3437,33,12673,0
72,8,13,3354,15,82197,0
116,1,14,3717,91,117367,0
95,8,14,4227,97,50847,1
114,6,13,2551,85,44079,0
87,2,14,2129,84,141011,0
83,4,11,775,15,42742,0
113,6,14,4605,84,187420,1
60,4,12,2563,11,99356,0
113,9,14,3390,79,167284,1
108,7,14,2867,51,150249,0
87,1,11,1849,77,12498,0
92,5,14,3415,42,105513,0
99,1,14,1469,41,141887,0
69,1,11,2612,25,108593,0
110,6,11,3166,47,133040,1
64,5,13,4378,59,183138,1
65,9,11,2651,10,35647,1
99,6,11,3880,18,143509,1
96,3,13,3231,19,59426,0
100,4,13,4497,52,110277,0
115,5,14,2020,83,9161,0
119,5,14,710,10,121312,0
106,1,14,2401,96,162895,0
73,9,14,3459,91,44286,0
93,4,14,2160,19,121028,0
69,7,14,4641,37,65936,0
114,4,14,4686,7,167620,1
74,5,12,3878,70,27754,0
81,6,14,1043,9,111230,0
118,8,13,3907,77,130378,0
95,9,11,2475,54,124635,0
112,5,12,1463,93,121639,0
89,5,14,3549,13,70062,0
101,4,14,2627,91,143193,0
86,7,13,1426,68,141603,0
116,4,13,3655,28,143558,0
60,5,13,2936,13,24852,0
71,9,11,1939,54,44797,0
92,6,14,1405,30,174738,0
75,4,13,852,70,10173,0
75,2,12,2121,80,100518,0
119,2,11,2436,6,88214,1
69,7,13,2541,14,35534,0
111,5,11,3423,39,98428,0
76,4,12,4711,43,118429,0
108,6,13,2681,93,135331,0
84,3,13,4325,22,117192,0
90,3,13,777,46,116671,0
64,2,13,802,53,47516,0
116,8,14,1401,87,5236,0
113,7,11,2590,92,150248,1
79,2,13,3485,72,197551,0
97,9,14,2026,12,117657,1
108,5,11,4742,35,84286,1
116,5,14,2687,95,13959,0
83,1,13,2177,91,115047,0
110,2,12,2043,79,33388,0
74,2,13,731,53,31686,0
82,9,11,963,94,8804,1
81,2,13,3834,97,58004,0
87,6,13,2228,78,35226,0
90,7,12,899,33,97737,0
119,1,11,1729,27,156945,1
110,4,13,1405,21,82163,0
66,4,14,844,64,89088,0
118,5,12,2244,12,148767,0
119,8,12,1086,60,36519,0
66,9,12,884,49,113638,0
98,8,14,2943,11,97068,1
69,7,13,946,26,21259,0
112,5,12,4431,45,192301,1
75,6,11,3084,69,20875,0
68,1,12,913,71,39659,0
64,6,13,4405,22,82952,0
109,6,13,3234,50,70439,0
65,4,12,747,92,147956,0
63,9,12,2145,64,150809,1
99,2,13,800,44,21856,0
96,8,11,1810,97,197797,1
115,6,12,3649,46,46587,0
94,9,12,1198,72,108169,0
70,8,12,2484,72,92307,0
105,6,11,2516,84,67641,0
86,4,12,3587,95,157390,0
110,8,12,2942,79,74192,0
74,5,11,3976,61,50444,0
106,2,14,2949,35,87681,0
119,6,12,2425,94,54118,0
108,5,11,2971,5,102698,1
80,3,13,3205,19,194107,0
61,2,13,2560,51,104072,0
100,9,14,2024,60,133108,1
73,6,13,4064,88,35065,0
88,4,12,747,46,145445,0
83,6,13,4282,53,175496,1
87,5,14,3727,40,174517,0
73,9,13,1996,14,108400,0
93,2,12,2724,71,177281,0
78,3,12,2095,74,8873,0
64,4,12,3852,85,109073,0
93,4,11,4216,38,122046,0
66,1,13,3189,78,17730,0
78,6,14,3171,57,52954,0
114,9,11,4680,97,174430,1
87,1,13,4372,66,113763,0
77,8,13,1474,94,22250,0
69,2,11,4293,30,174313,1
74,8,14,2432,35,63383,0
107,3,12,4050,97,188036,1
108,8,11,2203,41,50552,1
71,4,14,4974,85,19571,0
81,6,12,1068,98,121919,0
117,9,14,4888,93,24152,1
80,4,11,940,83,46954,0
60,9,13,3090,18,15293,0
109,7,13,3808,95,33086,0
109,4,11,4428,57,90327,1
64,8,13,999,10,35396,1
102,5,12,4803,32,139777,0
86,6,13,1465,28,49591,0
115,9,11,1900,83,135953,1
113,8,14,1760,90,54970,1
115,3,12,1107,88,5803,0
84,5,11,4633,84,92729,1
91,8,14,728,26,87278,0
80,5,11,3633,70,115994,0
70,3,12,4537,25,21099,0
96,4,13,3482,59,99341,0
112,3,13,1909,66,184115,1
88,7,14,3475,22,55863,0
75,5,12,4556,11,199892,1
102,9,13,1052,89,149984,0
76,3,11,2101,73,171336,0
93,5,12,712,61,136141,0
81,3,12,2740,56,70455,0
76,3,12,2020,79,71990,0
97,5,14,1612,92,27051,0
68,6,12,2933,57,176479,0
81,5,14,2824,22,168635,0
114,9,11,2953,26,5080,1
61,2,11,2243,53,163783,1
75,6,12,3275,84,67965,0
116,8,13,2045,49,16903,1
69,6,13,3026,62,115892,0
91,9,12,3914,18,198042,0
80,2,11,3395,94,128868,0
88,2,14,4564,56,197045,0
76,4,11,2716,99,175733,1
65,3,13,1394,89,88932,0
112,7,11,2932,86,113528,1
100,9,11,2076,6,97321,1
95,2,13,4654,95,43531,0
66,4,14,4263,76,44324,0
83,6,14,4691,84,24154,0
80,4,13,3714,23,135037,0
92,7,13,2601,81,138768,0
70,3,14,3442,39,69218,0
75,4,13,3206,6,30430,0
67,8,12,4873,74,130920,0
114,2,12,4979,75,42388,1
73,7,11,1486,10,193749,1
89,4,14,3021,76,150536,0
77,1,13,3377,92,193213,0
112,9,11,3302,98,20763,1
99,3,14,3075,85,14029,0
74,8,12,3397,5,122901,1
69,2,14,4624,78,186907,0
116,7,11,1456,91,121681,1
72,8,14,2345,35,149251,0
86,1,14,2123,8,84990,0
109,1,13,1725,39,118570,0
72,5,12,2366,70,57674,0
69,1,13,1644,35,192836,0
73,4,12,3323,46,135008,0
103,5,14,2986,22,128050,0
72,9,13,1110,44,192257,0
92,4,11,1988,28,179872,1
97,3,13,1703,26,59381,0
62,7,12,1145,47,164575,0
79,4,13,1823,83,195761,0
118,1,12,941,8,28876,0
80,8,11,2701,58,102668,1
95,6,13,4308,8,171505,1
67,1,12,3345,77,5151,0
63,5,13,2175,56,195808,0
86,4,14,3300,24,121529,0
106,7,11,4554,48,165504,1
68,6,12,2644,36,133860,0
85,7,11,1524,99,135967,0
76,1,12,1280,59,174885,0
81,6,13,2019,13,39178,0
97,5,13,1481,7,82918,0
115,8,13,3557,34,183860,1
67,2,14,4101,17,157106,0
84,4,13,4480,38,61650,0
84,2,13,994,9,132694,0
101,7,13,2336,62,16413,0
88,2,13,4905,75,188468,1
106,3,14,795,59,52931,0
115,5,12,925,95,114362,0
110,6,13,994,34,91045,0
119,2,11,4445,8,160117,1
101,1,13,3321,33,196651,0
67,5,13,2725,84,144205,0
104,8,14,4198,17,11984,1
93,4,13,1988,55,139185,0
83,4,11,3216,15,180322,1
117,8,14,4647,42,173883,1
101,1,13,4991,59,48234,1
66,6,11,2948,16,125958,0
78,7,11,1306,92,92986,0
111,2,13,4355,6,133029,1
98,1,11,2082,77,6145,1
66,6,14,4628,37,119964,0
87,8,12,4605,81,110999,1
92,5,11,4821,60,23151,1
117,5,11,4756,49,68741,1
96,1,12,3181,16,24288,0
101,3,11,1613,30,42058,0
93,8,11,1036,29,27683,1
109,6,12,4215,61,146879,0
72,1,12,2685,23,66427,0
113,6,14,1921,96,194020,1
107,5,13,2875,64,40179,0
91,2,11,3646,40,85761,0
98,4,11,945,11,79462,1
88,4,12,4813,7,58526,1
79,7,12,1667,36,139739,0
79,5,14,4482,24,195227,1
114,5,11,1252,55,108691,0
89,6,13,4380,24,111246,0
78,9,14,935,33,162598,0
65,3,12,2407,45,8699,0
80,5,13,1434,59,30560,0
87,7,11,1021,45,40850,0
88,6,11,1962,67,177355,0
116,2,13,2760,85,140775,0
77,6,11,2868,85,193419,0
62,7,11,1228,36,193102,1
93,2,14,2117,91,161318,0
104,4,14,3423,89,70990,0
107,6,13,2757,70,69919,0
63,4,11,920,69,151743,0
63,5,12,4853,36,134435,0
81,4,13,4687,52,193344,1
69,2,14,2134,42,74731,0
110,9,13,2109,34,117514,0
94,7,12,4080,21,192215,1
74,8,11,2323,11,35238,1
87,9,14,2489,13,142321,1
98,9,11,2924,68,35724,1
67,3,14,4773,40,98090,0
63,8,13,4930,77,84939,1
117,2,14,759,38,150206,0
86,4,12,3891,43,155695,0
81,2,11,3157,34,165353,0
80,3,14,3596,56,65032,0
107,3,13,1806,70,174402,1
71,1,13,3221,6,74730,0
108,9,13,2890,59,24212,1
94,8,11,4756,78,125644,1
73,9,13,3000,19,95211,0
97,8,13,1274,92,140535,0
60,5,11,1691,67,45250,0
75,5,13,2269,7,23184,0
76,4,13,3622,22,142335,0
83,8,11,1082,60,80185,1
65,5,11,2712,25,49190,0
81,4,14,1549,5,89752,0
111,9,12,2473,62,139738,1
111,2,14,4279,80,123503,0
102,8,12,1162,91,152803,1
81,3,12,2474,24,167329,0
69,8,13,1670,39,63494,0
73,5,12,1395,45,182997,0
105,5,11,1436,29,6209,0
109,7,12,2380,55,46273,0
119,7,12,766,60,68489,0
96,7,12,896,67,13497,0
108,9,12,3762,88,54598,0
81,6,13,1819,52,67527,0
110,6,14,3564,25,60133,0
101,8,13,4093,25,181299,1
116,9,14,1153,64,188827,1
112,7,12,4659,12,103954,1
83,9,14,1876,11,138521,1
62,6,14,1242,97,177350,0
100,9,11,2117,64,125532,1
111,3,14,1803,48,199365,0
82,6,14,1400,45,160785,0
61,1,12,4778,28,159459,1
90,1,13,4173,81,195383,1
89,5,13,4558,35,94310,0
107,8,14,776,17,168341,1
84,8,14,3329,42,186261,1
81,1,11,1615,32,103113,0
102,8,14,3749,80,53091,0
116,3,14,3050,55,35366,0
85,5,11,3973,93,170233,0
61,7,13,1570,32,127052,0
84,6,12,4906,86,151833,0
63,7,14,4220,43,24186,0
80,1,11,3719,60,115221,0
79,3,11,2200,66,159519,0
109,9,11,4173,65,50736,1
106,2,14,4453,83,13101,0
87,4,11,4000,91,68226,0
86,2,12,3558,8,53664,0
83,5,14,1282,88,78036,0
93,1,14,1768,90,138506,0
106,8,12,1420,34,44972,0
62,6,14,4691,75,26353,0
110,7,13,4061,8,155324,1
74,9,11,922,67,188325,1
102,3,14,773,37,154585,1
119,9,12,4088,71,144393,1
91,8,12,3516,70,74674,0
77,3,13,4258,47,31545,0
90,5,14,1540,11,136155,0
89,6,13,3902,36,151003,0
118,5,14,3882,14,188893,1
76,2,14,3193,55,56150,0
105,1,12,1716,76,79228,0
79,1,14,3476,23,40956,0
63,5,12,1832,54,37248,0
79,3,12,1955,58,5732,0
106,3,14,2740,63,154026,0
106,1,12,4201,52,11739,1
75,5,13,769,87,5515,0
64,8,12,4427,38,64307,0
60,3,14,2120,50,102946,0
116,5,12,4007,12,91552,1
95,2,12,3676,27,108281,0
101,8,12,1722,89,64768,1
115,8,13,2257,63,126151,1
104,9,12,4198,99,18788,1
65,6,13,1826,67,108507,0
66,8,11,1628,47,96754,1
60,9,11,2725,22,40962,1
119,5,13,3228,40,82676,0
109,7,12,1852,39,35174,0
62,2,11,1559,15,110272,0
88,2,11,3344,80,173800,0
96,2,13,3129,94,39725,0
104,9,12,1795,66,84106,1
90,3,14,3176,81,165124,0
74,3,12,1526,22,53619,0
65,3,12,2915,49,192033,0
103,9,14,3789,46,175995,1
87,8,13,1834,14,115051,0
86,9,14,1332,9,57479,0
109,6,14,3674,85,131368,0
84,8,11,1724,60,57111,1
71,3,11,3074,10,195449,1
111,1,13,3990,5,100012,1
74,9,11,1496,40,74749,0
74,5,12,3717,43,49650,0
106,7,12,872,34,128189,0
87,7,11,4069,50,160145,1
117,5,14,2778,31,100297,0
109,2,14,2976,7,44062,1
99,3,12,2198,76,155231,1
65,7,12,2383,27,160645,0
67,7,13,4339,39,164722,0
117,4,12,3503,98,43859,0
114,6,11,4439,27,171854,1
91,2,14,3491,81,177693,0
115,9,11,4889,29,50837,1
89,2,11,3882,41,81786,0
68,8,12,1794,28,89887,0
84,5,14,2952,89,58474,0
117,9,13,3338,74,51202,0
108,4,11,2307,49,85883,1
86,6,11,4337,55,60916,0
73,4,11,3286,10,167206,1
94,1,14,1615,39,56348,0
97,8,14,4909,10,164872,1
86,4,14,2443,9,54520,0
74,5,11,2967,56,184960,0
91,2,14,4873,53,78761,0
61,8,14,2504,89,130261,0
60,1,11,3571,69,80251,0
84,5,12,1849,16,23334,0
114,7,14,1002,76,74928,0
75,3,11,914,19,193508,0
89,2,14,4050,94,57878,0
70,1,11,2412,21,119488,0
93,5,14,3355,90,112790,0
80,2,13,3458,99,166722,0
65,7,11,3518,20,147622,0
94,2,13,1597,62,125426,0
86,2,14,3352,10,79764,0
63,9,11,4386,14,16310,1
119,7,11,2427,52,171617,1
65,6,12,1621,92,89036,0
113,2,12,4726,88,156074,1
110,1,11,4509,34,189181,1
69,3,14,2354,65,15881,0
69,2,12,3972,76,152245,0
103,2,12,3410,75,116018,0
60,1,13,2885,81,119374,0
87,6,11,2543,48,27452,0
81,1,13,4693,16,136698,0
112,7,13,3468,90,52639,0
71,3,11,1688,33,80125,0
100,3,13,2685,48,54942,0
104,9,11,4517,77,100184,1
98,7,13,1681,24,150219,0
98,2,14,1266,51,194098,0
74,6,12,2626,51,14118,0
88,2,11,1516,40,188071,0
107,8,13,2197,27,80535,1
95,6,13,2319,84,10871,0
112,7,14,3662,7,100854,0
107,2,12,3486,43,80671,0
86,3,13,761,23,7440,0
86,5,14,1765,10,116797,0
62,7,14,1933,24,109173,0
107,2,13,2465,53,109195,0
74,7,12,4520,50,29733,0
98,9,14,1334,97,44367,1
62,6,14,3928,9,122088,0
73,3,14,2600,73,176295,0
67,5,14,3939,70,174315,0
61,5,14,4471,45,174648,1
63,6,14,3305,77,112431,0
102,7,13,1985,41,191483,0
117,9,14,3785,49,198710,1
113,5,12,3726,29,144808,0
73,9,12,3520,61,186324,1
103,7,11,739,58,142825,1
105,8,14,932,86,94010,0
100,2,13,4383,79,41226,0
84,5,11,1176,46,94822,0
110,8,13,793,71,135248,1
112,2,14,4004,39,61348,1
112,1,11,2785,60,67194,0
104,8,11,3578,20,173789,1
62,1,12,2026,46,112706,0
92,7,13,4488,61,50711,0
62,4,14,2490,9,5065,0
119,5,13,3222,90,171298,1
116,2,12,1559,88,116384,0
72,7,12,2835,30,44399,0
71,6,13,3757,85,118172,0
80,8,14,1704,21,78170,0
90,2,13,1402,25,171151,0
76,1,11,1111,99,139333,0
94,3,14,2627,92,198296,0
86,5,12,1234,57,178346,0
113,5,13,1905,7,125425,0
87,2,11,4346,88,77209,0
62,5,13,1073,17,10187,0
74,8,11,4411,92,62288,1
114,6,11,1160,46,15147,1
67,5,11,3995,33,112363,0
87,5,13,2655,56,145567,0
63,8,12,4933,74,8215,1
92,5,12,2075,57,88830,0
87,2,13,2885,65,130987,0
75,2,13,1662,66,67223,0
68,9,13,2246,62,133886,0
72,7,12,4440,86,59464,0
85,4,11,4936,9,160154,1
86,9,14,2362,33,188737,0
92,1,11,1150,44,42499,0
95,9,14,3205,59,84074,0
87,9,14,2668,28,35729,0
85,5,11,2057,35,86210,0
111,2,12,4192,19,62222,0
111,6,14,4037,33,182331,1
118,2,13,4780,91,75254,1
69,4,12,1908,10,144513,0
88,2,14,1421,72,176852,0
